Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,263.359985,265.359985,262.649994,264.549988,259.136444,3454500
2020-12-14,266.140015,268.600006,265.269989,265.579987,260.145355,4576800
2020-12-15,267.510010,268.760010,266.200012,267.980011,262.496277,3754100
2020-12-16,268.529999,270.750000,267.510010,269.589996,264.073273,4669600
2020-12-17,272.160004,274.329987,271.299988,273.970001,268.363678,4247000
2020-12-18,274.589996,275.739990,270.299988,270.450012,264.915741,9817000
2020-12-21,268.559998,271.950012,265.880005,270.989990,265.444611,4339000
2020-12-22,270.059998,271.359985,268.510010,270.040009,264.514099,3140100
2020-12-23,270.059998,271.000000,268.200012,269.809998,264.288818,2337100
2020-12-24,269.440002,271.359985,269.399994,270.920013,265.376099,1093900
2020-12-28,272.170013,272.250000,269.239990,269.250000,263.740265,2633800
2020-12-29,269.980011,270.459991,265.070007,266.190002,260.742889,2572100
2020-12-30,266.109985,267.299988,264.920013,265.260010,259.831940,2511400
2020-12-31,265.570007,265.950012,263.579987,265.619995,260.184540,2607900
2021-01-04,266.010010,266.440002,261.059998,263.920013,258.519348,5002000
2021-01-05,262.660004,266.529999,262.260010,266.049988,260.605743,3822600
2021-01-06,264.059998,269.769989,261.869995,267.570007,262.094666,3949200
2021-01-07,266.950012,268.779999,266.170013,266.260010,260.811462,3833200
2021-01-08,267.350006,270.730011,267.000000,269.089996,263.583527,3757700
2021-01-11,267.470001,273.369995,267.260010,271.230011,265.679779,3764400
2021-01-12,271.109985,277.940002,270.649994,276.329987,270.675354,4030900
2021-01-13,278.309998,280.480011,273.940002,274.049988,268.442047,3921400
2021-01-14,274.500000,274.899994,267.670013,268.339996,262.848877,4641400
2021-01-15,268.630005,276.390015,268.000000,275.589996,269.950531,5131700
2021-01-19,278.000000,278.000000,273.019989,273.190002,267.599670,3615800
2021-01-20,273.250000,277.209991,271.500000,274.299988,268.686951,3498400
2021-01-21,276.220001,280.700012,275.670013,279.049988,273.339691,4397900
2021-01-22,279.260010,285.079987,277.869995,284.000000,278.188446,4501900
2021-01-25,283.850006,285.769989,281.420013,285.079987,279.246307,4025900
2021-01-26,285.420013,285.649994,281.700012,282.600006,276.817078,2472200
2021-01-27,279.989990,280.809998,273.079987,274.049988,268.442047,4337000
2021-01-28,276.170013,282.959991,274.929993,278.049988,272.360168,3463000
2021-01-29,275.809998,277.059998,270.029999,270.820007,265.278137,4079500
2021-02-01,271.230011,272.649994,267.250000,270.070007,264.543488,3707800
2021-02-02,270.000000,275.690002,269.989990,272.160004,266.590698,4111800
2021-02-03,271.890015,275.720001,270.709991,274.170013,268.559601,2802700
2021-02-04,274.250000,279.440002,274.250000,278.820007,273.114410,2976000
2021-02-05,280.290009,281.760010,277.809998,278.859985,273.153595,2389900
2021-02-08,279.690002,280.420013,276.890015,280.029999,274.299683,3475600
2021-02-09,279.660004,280.200012,276.619995,276.769989,271.106354,2507800
2021-02-10,278.029999,278.929993,276.250000,278.690002,272.987091,2410600
2021-02-11,277.929993,280.250000,276.010010,277.059998,271.390411,2595300
2021-02-12,277.119995,278.709991,276.579987,277.510010,271.831268,2392200
2021-02-16,277.010010,278.630005,274.880005,275.390015,269.754639,2873500
2021-02-17,275.540009,281.790009,275.399994,280.920013,275.171478,3536400
2021-02-18,280.799988,284.679993,279.829987,283.049988,277.257874,3532000
2021-02-19,282.869995,283.910004,279.440002,279.640015,273.917633,4079900
2021-02-22,278.209991,278.489990,273.630005,275.850006,270.205231,3995500
2021-02-23,269.380005,269.670013,257.579987,267.239990,261.771393,12111000
2021-02-24,263.230011,266.989990,254.029999,259.970001,254.650177,14512700
2021-02-25,259.750000,260.899994,254.710007,255.250000,250.026749,6545400
2021-02-26,257.769989,260.239990,256.109985,258.339996,253.053513,7871200
2021-03-01,258.809998,262.480011,258.470001,261.619995,256.266388,4528900
2021-03-02,261.679993,263.109985,259.769989,260.290009,254.963638,3740300
2021-03-03,259.279999,260.500000,256.010010,257.359985,252.093582,4257500
