Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,151.529999,153.410004,151.229996,152.949997,149.190140,5973255
2020-12-14,153.250000,153.479996,148.990005,149.070007,145.405533,8547296
2020-12-15,150.000000,150.750000,149.529999,150.570007,146.868668,7614746
2020-12-16,150.199997,150.919998,149.550003,149.669998,145.990768,8486069
2020-12-17,150.089996,153.884995,149.955002,153.619995,149.843658,9920312
2020-12-18,153.649994,155.100006,151.669998,154.509995,150.711807,17137229
2020-12-21,152.009995,153.410004,150.050003,153.020004,149.258423,7893359
2020-12-22,152.399994,153.899994,151.860001,152.720001,148.965805,4703185
2020-12-23,152.800003,153.602997,151.899994,151.940002,148.204987,4607275
2020-12-24,151.850006,153.039993,151.820007,152.470001,148.721954,2114901
2020-12-28,153.320007,153.869995,152.300003,153.190002,149.424255,3855466
2020-12-29,154.110001,154.929993,153.800003,154.139999,150.350891,5211972
2020-12-30,154.740005,156.380005,154.600006,156.050003,152.213943,5412775
2020-12-31,156.529999,157.660004,155.109802,157.380005,153.511246,5099880
2021-01-04,157.240005,157.380005,154.130005,156.500000,152.652878,11765865
2021-01-05,156.250000,158.759995,155.070007,158.339996,154.447662,9602290
2021-01-06,157.240005,160.229996,156.720001,159.830002,155.901016,8230086
2021-01-07,159.000000,161.029999,158.350006,160.369995,156.427750,7747161
2021-01-08,160.509995,161.100006,159.880005,160.039993,156.105850,8228938
2021-01-11,160.559998,161.320007,158.770004,159.369995,155.452332,7068176
2021-01-12,159.149994,159.660004,157.330002,158.130005,154.242828,6903189
2021-01-13,158.229996,158.455002,156.750000,157.889999,154.008698,6643065
2021-01-14,160.449997,161.949997,159.610001,160.649994,156.700851,10030794
2021-01-15,160.300003,161.405807,159.105804,160.300003,156.359467,7630813
2021-01-19,162.000000,163.039993,161.100006,162.779999,158.778503,9057555
2021-01-20,163.199997,164.139999,161.800003,162.380005,158.388351,6839850
2021-01-21,161.320007,162.479996,160.059998,161.729996,157.754303,6822770
2021-01-22,162.360001,165.154999,161.869995,163.550003,159.529572,8137018
2021-01-25,165.009995,166.089996,163.660004,165.979996,161.899841,9924438
2021-01-26,169.699997,173.649994,169.389999,170.479996,166.289215,14205687
2021-01-27,169.119995,170.919998,167.449997,167.880005,163.753128,14207289
2021-01-28,168.199997,170.860001,167.800003,169.160004,165.001663,8944399
2021-01-29,164.259995,166.000000,160.552704,163.130005,159.119904,22505864
2021-02-01,165.309998,165.309998,162.600006,162.710007,158.710220,9971395
2021-02-02,163.380005,163.660004,161.179993,161.250000,157.286102,11443254
2021-02-03,160.940002,161.520004,159.570007,160.500000,156.554550,8601883
2021-02-04,161.000000,162.089996,159.759995,161.990005,158.007935,7758128
2021-02-05,164.860001,165.440002,163.860107,164.449997,160.407455,9495309
2021-02-08,165.029999,165.920593,163.880005,164.919998,160.865891,6035341
2021-02-09,165.199997,166.589996,164.970001,166.270004,162.182709,5544214
2021-02-10,167.889999,167.940002,165.699997,166.809998,162.709427,5921312
2021-02-11,167.000000,167.380005,165.600006,166.059998,161.977859,4871250
2021-02-12,164.399994,166.850006,164.000000,166.580002,162.485107,4413066
2021-02-16,166.580002,167.050003,164.639999,165.070007,161.012222,5656092
2021-02-17,164.970001,166.089996,164.360001,165.660004,161.587708,6680909
2021-02-18,164.960007,166.160004,164.300003,165.740005,161.665741,5191590
2021-02-19,165.600006,165.960007,162.910004,162.979996,158.973572,8190883
2021-02-22,161.869995,162.539993,160.289993,161.869995,158.875427,6447105
2021-02-23,161.479996,163.190002,160.399994,160.440002,157.471909,7042829
2021-02-24,162.399994,164.389999,160.919998,162.589996,159.582108,10286107
2021-02-25,163.130005,163.699997,161.990005,162.759995,159.748978,9719715
2021-02-26,162.000000,162.410004,157.970001,158.460007,155.528534,14417547
2021-03-01,161.449997,161.529999,159.089996,159.320007,156.372620,10551378
2021-03-02,159.779999,160.779999,158.600006,159.020004,156.078186,7610885
2021-03-03,158.250000,158.899994,156.060394,156.220001,153.329987,8499626
2021-03-04,155.990005,156.100006,151.470001,153.070007,150.238251,11033178
2021-03-05,153.979996,156.690002,153.130005,156.100006,153.212189,8331633
2021-03-08,157.000000,159.330002,155.979996,157.399994,154.488129,6546688
2021-03-09,156.889999,160.750000,156.889999,157.699997,154.782593,7461267
2021-03-10,158.820007,159.895004,157.360001,159.149994,156.205750,6635577
2021-03-11,159.539993,160.630005,158.919998,159.139999,156.195938,6305584
2021-03-12,159.279999,160.309998,159.190002,159.600006,156.647446,5474849
2021-03-15,159.750000,160.660004,158.500000,160.419998,157.452271,5526008
2021-03-16,160.460007,161.679993,160.240005,161.369995,158.384689,6369144
2021-03-17,160.830002,161.729996,159.529999,160.770004,157.795807,6001421
2021-03-18,160.210007,161.490005,159.960007,160.470001,157.501343,4801794
2021-03-19,160.690002,161.500000,159.470001,160.039993,157.079300,14891523
2021-03-22,158.309998,160.649994,158.000000,160.500000,157.530792,7544052
2021-03-23,160.210007,161.200394,158.880005,160.350006,157.383575,7178323
2021-03-24,160.100006,162.479996,159.820007,161.910004,158.914703,6370143
2021-03-25,162.440002,162.449997,160.639999,161.970001,158.973587,6269774
2021-03-26,162.089996,165.100006,161.380005,164.929993,161.878830,7619247
2021-03-29,163.830002,167.029999,163.631393,166.039993,162.968292,8535084
2021-03-30,165.020004,165.660004,164.229996,165.009995,161.957352,7236347
2021-03-31,164.960007,165.389999,163.699997,164.350006,161.309570,8281521
