Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,137.389999,138.139999,136.229996,137.410004,136.384460,4172439
2020-12-14,138.919998,139.000000,136.199997,136.279999,135.262894,7598952
2020-12-15,137.429993,139.440002,137.249100,139.389999,138.349686,7642595
2020-12-16,139.070007,140.490005,137.460007,138.339996,137.307526,6573449
2020-12-17,139.919998,140.740005,138.750000,140.500000,139.451416,8726997
2020-12-18,141.089996,141.139999,137.169998,137.279999,136.255432,17970788
2020-12-21,144.820007,147.949997,142.509995,144.020004,142.945145,16111271
2020-12-22,143.050003,143.470001,141.089996,142.449997,141.386841,6341604
2020-12-23,142.559998,143.600006,141.699997,141.759995,140.701996,3388279
2020-12-24,141.100006,142.190002,141.100006,141.600006,140.543213,1821900
2020-12-28,142.539993,142.919998,141.043793,142.429993,141.366989,4081534
2020-12-29,142.830002,143.059998,140.429993,141.570007,140.513428,3232430
2020-12-30,142.160004,142.610001,140.660004,141.580002,140.523346,3052122
2020-12-31,141.699997,141.789993,140.369995,141.470001,140.414169,2949915
2021-01-04,142.850006,142.970001,138.320007,140.100006,139.054398,6178517
2021-01-05,138.600006,141.660004,138.600006,141.229996,140.175949,4163149
2021-01-06,141.250000,143.569901,139.529999,142.350006,141.287598,6072939
2021-01-07,143.199997,145.639999,143.000000,144.949997,143.868195,5256940
2021-01-08,145.550003,146.820007,144.900101,146.350006,145.257751,3950741
2021-01-11,146.000000,147.100006,144.800598,147.050003,145.952530,4254143
2021-01-12,146.500000,146.850006,144.380005,145.050003,143.967438,3678834
2021-01-13,144.830002,145.126495,142.429993,143.039993,141.972443,3330127
2021-01-14,143.660004,144.899994,140.929993,141.300003,140.245438,4104024
2021-01-15,140.559998,142.380005,139.880005,140.720001,139.669769,6412351
2021-01-19,140.990005,141.216599,138.410004,139.270004,138.230576,6537800
2021-01-20,140.380005,143.210007,140.009995,142.800003,141.734238,4654404
2021-01-21,142.410004,143.813004,141.125000,141.610001,140.553131,4013667
2021-01-22,141.089996,141.880005,139.309998,139.350006,138.309998,4150453
2021-01-25,138.990005,139.179993,134.740005,137.550003,136.523407,5998739
2021-01-26,137.759995,137.845001,134.713806,135.100006,134.091705,5312341
2021-01-27,132.220001,132.860001,130.266800,131.020004,130.042145,7815862
2021-01-28,132.360001,136.369995,131.500000,134.720001,133.714539,6244598
2021-01-29,133.949997,135.024994,132.149994,133.589996,132.592972,7166051
2021-02-01,135.369995,136.050003,133.300003,135.710007,134.697159,4366833
2021-02-02,137.059998,139.860001,136.750000,139.589996,138.548187,7132823
2021-02-03,139.699997,140.059998,138.009995,138.630005,137.595367,4678553
2021-02-04,139.550003,141.050003,138.919998,140.630005,139.580460,4533707
2021-02-05,141.339996,145.571701,141.289993,145.110001,144.027008,6151478
2021-02-08,145.149994,145.880005,142.800003,143.410004,142.339676,6304300
2021-02-09,143.600006,144.220001,141.699997,141.789993,140.731750,3436347
2021-02-10,142.449997,142.600006,140.899994,142.460007,141.396774,4125714
2021-02-11,143.000000,144.350006,142.410004,143.539993,142.468704,3828731
2021-02-12,143.110001,143.449997,141.399994,142.119995,141.059311,3636966
2021-02-16,143.369995,143.369995,141.029999,141.710007,140.652390,4873364
2021-02-17,141.300003,144.559998,140.210007,143.990005,142.915359,6438432
2021-02-18,142.979996,145.389999,141.210007,145.089996,144.007141,4487139
2021-02-19,145.429993,145.500000,141.500000,142.020004,140.960068,7485950
2021-02-22,141.539993,142.460007,136.259995,136.669998,135.649979,8985889
2021-02-23,136.029999,136.830002,131.580002,136.130005,135.114029,10364140
2021-02-24,135.059998,135.960007,133.949997,135.649994,134.637589,6360911
2021-02-25,137.600006,139.179993,134.529999,135.539993,134.528412,5674302
2021-02-26,135.899994,136.850006,133.360001,134.779999,134.046066,6650210
2021-03-01,135.639999,139.149994,135.500000,137.649994,136.900436,5717793
2021-03-02,137.559998,138.255005,135.610001,137.020004,136.273865,5292900
2021-03-03,137.089996,137.410004,134.149994,134.259995,133.528885,4888379
2021-03-04,134.000000,135.130005,130.179993,132.039993,131.320984,7181486
2021-03-05,133.539993,133.679993,129.187805,133.350006,132.623856,5957148
2021-03-08,133.639999,135.630005,132.369995,134.559998,133.827271,4983035
2021-03-09,135.509995,138.000000,135.449997,135.949997,135.209686,5977764
2021-03-10,136.500000,138.199997,136.100006,137.589996,136.840744,4519576
2021-03-11,139.179993,142.199997,138.559998,141.190002,140.421158,5696538
2021-03-12,140.000000,140.910004,138.600006,140.449997,139.685181,4143150
2021-03-15,140.699997,145.000000,140.666397,144.940002,144.150742,5417218
2021-03-16,145.880005,146.149994,143.844894,144.649994,143.862305,5622963
2021-03-17,143.199997,146.149994,143.199997,144.820007,144.031387,5134378
2021-03-18,144.369995,146.660004,142.550003,143.169998,142.390366,10279416
2021-03-19,140.000000,142.860001,135.509995,137.490005,136.741318,24980362
2021-03-22,137.630005,138.809998,136.029999,138.270004,137.517059,7537298
2021-03-23,138.490005,140.639999,136.550003,137.119995,136.373322,5582625
2021-03-24,136.449997,137.919998,132.880005,133.160004,132.434891,8157637
2021-03-25,127.050003,129.389999,125.440002,128.639999,127.939491,18475804
2021-03-26,131.600006,133.184998,129.770004,132.990005,132.265808,10010472
2021-03-29,132.940002,133.910004,130.660004,133.490005,132.763092,7153914
2021-03-30,132.345001,133.350006,131.220001,132.949997,132.226028,6026601
2021-03-31,133.089996,134.179993,131.919998,132.889999,132.166367,6878936
2021-04-01,134.690002,134.690002,132.210007,132.529999,131.808304,5720557
2021-04-05,133.100006,135.679993,133.100006,135.119995,134.384216,5508931
2021-04-06,135.440002,137.710007,134.929993,137.160004,136.413101,4670099
2021-04-07,136.990005,138.240005,136.360001,136.539993,135.796478,6646002
2021-04-08,137.279999,137.309998,133.404999,133.679993,132.952057,8748392
2021-04-09,133.940002,135.500000,133.500000,135.449997,134.712402,6056769
2021-04-12,134.750000,136.899994,134.220001,136.639999,135.895935,5638234
2021-04-13,135.600006,135.990005,133.399994,133.539993,132.812820,8778164
2021-04-14,133.539993,134.179993,131.820007,132.259995,131.539780,7354084
2021-04-15,133.000000,134.070007,132.679993,133.669998,132.942108,6285030
2021-04-16,134.710007,134.770004,133.729996,134.309998,133.578629,6852498
2021-04-19,134.300003,134.380005,132.149994,132.570007,131.848114,5613592
2021-04-20,129.169998,129.899994,125.699997,127.110001,126.417831,13268678
2021-04-21,127.589996,130.330002,127.370003,129.899994,129.192642,7110855
2021-04-22,129.889999,130.369995,127.980003,129.179993,128.476547,6442917
2021-04-23,128.929993,130.649994,128.460403,130.190002,129.481064,7489517
2021-04-26,130.490005,131.699997,129.320007,131.600006,130.883392,8217807
2021-04-27,132.000000,132.789993,131.410004,132.110001,131.390610,5833092
2021-04-28,132.259995,132.330002,130.345001,130.710007,129.998230,8195648
2021-04-29,131.770004,134.119995,131.229996,133.259995,132.534348,6612461
2021-04-30,132.440002,133.880005,132.050003,132.619995,131.897827,5643809
2021-05-03,133.369995,134.449997,132.589996,133.029999,132.305603,5052987
2021-05-04,132.229996,132.589996,130.475006,131.550003,130.833664,6129539
2021-05-05,132.699997,134.214996,132.080002,132.210007,131.490067,4218037
2021-05-06,132.600006,133.839996,131.940002,133.490005,132.763092,5200987
2021-05-07,135.000000,139.360001,134.720001,137.809998,137.059555,10566670
2021-05-10,138.000000,138.899994,136.300003,136.399994,135.657227,5669327
2021-05-11,138.380005,138.380005,135.009995,137.119995,136.373322,8045369
2021-05-12,135.419998,136.820007,133.339996,133.389999,132.663635,5865117
2021-05-13,133.699997,135.029999,132.490005,133.610001,132.882431,6284732
2021-05-14,134.339996,136.679993,134.050003,135.929993,135.189804,4367939
2021-05-17,136.330002,137.070007,135.500000,136.410004,135.667191,3934280
2021-05-18,136.440002,137.470001,135.449997,135.559998,134.821808,5664910
2021-05-19,133.479996,133.970001,131.960007,132.960007,132.235977,5582288
2021-05-20,133.779999,134.210007,132.190002,133.270004,132.544296,4934804
2021-05-21,133.830002,134.169998,132.410004,132.660004,131.937607,5329741
2021-05-24,133.100006,134.350006,132.809998,134.059998,133.329971,4313241
2021-05-25,134.940002,135.169998,133.850006,134.320007,133.588577,4885772
