Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,338.130005,338.880005,334.329987,337.070007,332.396423,3071737
2020-12-14,340.029999,343.230011,335.859985,336.130005,331.469452,2478953
2020-12-15,339.140015,341.010010,337.040009,339.670013,334.960388,2616862
2020-12-16,336.829987,341.660004,334.260010,339.339996,334.634918,2365672
2020-12-17,339.809998,342.600006,337.304993,341.670013,336.932648,2525662
2020-12-18,342.519989,342.609985,334.000000,338.380005,333.688232,8743007
2020-12-21,332.070007,336.950012,329.399994,336.079987,331.420105,2893022
2020-12-22,335.160004,336.980011,333.470001,335.010010,330.364960,2069883
2020-12-23,336.489990,341.649902,336.029999,337.589996,332.909210,2348234
2020-12-24,336.440002,341.410004,336.440002,340.790009,336.064850,1360598
2020-12-28,343.209991,347.790009,343.059998,345.950012,341.153290,2308222
2020-12-29,347.989990,351.290009,345.000000,347.350006,342.533875,2275855
2020-12-30,347.079987,349.010010,344.470001,344.989990,340.206573,1866024
2020-12-31,345.040009,351.089996,344.049988,350.679993,345.817688,1969227
2021-01-04,351.450012,352.075012,340.380005,349.500000,344.654083,4203821
2021-01-05,348.690002,351.359985,344.480011,344.799988,340.019196,3160458
2021-01-06,337.109985,359.489990,335.109985,359.269989,354.288605,6561435
2021-01-07,358.540009,366.450012,357.920013,365.029999,359.968689,3366710
2021-01-08,367.000000,367.489990,358.760010,363.390015,358.351440,2948002
2021-01-11,362.619995,364.290009,359.190002,360.750000,355.748077,2695180
2021-01-12,357.940002,360.079987,355.230011,357.369995,352.414917,2372762
2021-01-13,356.040009,356.809998,351.230011,355.040009,350.117249,1974477
2021-01-14,356.850006,358.809998,350.420013,350.529999,345.669769,2919879
2021-01-15,349.119995,353.049988,345.739990,351.299988,346.429077,3776994
2021-01-19,356.209991,356.959991,351.559998,352.190002,347.306763,3361269
2021-01-20,351.880005,352.079987,345.829987,350.839996,345.975464,3036808
2021-01-21,350.809998,360.890015,350.739990,355.000000,350.077789,3750194
2021-01-22,353.309998,354.619995,347.540009,347.549988,342.731049,2585351
2021-01-25,347.149994,350.390015,344.604614,347.809998,342.987457,2506366
2021-01-26,350.510010,351.510010,342.570007,343.109985,338.352661,2467549
2021-01-27,337.040009,338.000000,329.010010,332.989990,328.372955,4770898
2021-01-28,336.640015,346.579987,334.510010,338.149994,333.461426,2770191
2021-01-29,336.529999,339.019989,330.630005,333.579987,328.954773,3899501
2021-02-01,335.029999,338.149994,332.740814,334.000000,329.368958,3020168
2021-02-02,337.100006,344.638489,337.100006,338.720001,334.023499,2663668
2021-02-03,338.000000,340.160004,334.600006,337.890015,333.205048,2537417
2021-02-04,332.320007,335.290009,328.390015,329.320007,324.753845,5962249
2021-02-05,332.109985,333.480011,323.482513,324.510010,320.010559,7227908
2021-02-08,327.010010,327.015015,323.804993,324.339996,319.842896,4758181
2021-02-09,323.899994,331.044891,321.709991,329.630005,325.059540,4096905
2021-02-10,332.660004,335.760010,329.769989,333.399994,328.777283,4122733
2021-02-11,335.000000,336.644989,331.500000,333.070007,328.451843,2776664
2021-02-12,331.679993,332.399994,327.880005,328.239990,323.688812,2760970
2021-02-16,327.359985,329.839996,322.480011,324.619995,320.119019,4339162
2021-02-17,323.459991,328.600006,322.239990,326.859985,322.327942,2637714
2021-02-18,325.899994,329.579987,325.200012,328.410004,323.856476,2385100
2021-02-19,328.750000,328.850006,324.109985,324.579987,320.079529,2313753
2021-02-22,321.500000,329.049988,320.350006,327.640015,323.097137,2688464
2021-02-23,329.989990,333.940002,326.640015,329.510010,324.941223,3225724
2021-02-24,328.489990,333.600006,326.040009,332.209991,327.603790,3360533
2021-02-25,331.000000,333.600006,327.355011,328.869995,324.310089,2780100
2021-02-26,330.549988,337.910004,329.850006,332.220001,327.613647,5430019
